capturing trace... done
TRACE:
# tracer: nop
#
# entries-in-buffer/entries-written: 15207/15207   #P:4
#
#                                      _-----=> irqs-off
#                                     / _----=> need-resched
#                                    | / _---=> hardirq/softirq
#                                    || / _--=> preempt-depth
#                                    ||| /     delay
#           TASK-PID    TGID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |        |      |   ||||       |         |
          atrace-10118 (10118) [003] ...1  6203.263308: tracing_mark_write: trace_event_clock_sync: parent_ts=3539.973145
          atrace-10118 (10118) [003] ...1  6203.263321: tracing_mark_write: trace_event_clock_sync: realtime_ts=1321013411790
          <idle>-0     (-----) [000] ..s2  6203.306460: mmc_blk_rw_end: cmd=25,addr=0x008e2960,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.307048: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] .Ns2  6203.307284: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.309425: mmc_blk_rw_start: cmd=25,addr=0x013e43a0,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.309830: mmc_blk_rw_end: cmd=25,addr=0x013e43a0,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.309891: mmc_blk_rw_start: cmd=25,addr=0x0135f270,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.310109: mmc_blk_rw_end: cmd=25,addr=0x0135f270,size=0x00000008
         mmcqd/1-1371  ( 1371) [001] ...1  6203.312183: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] .Ns2  6203.312617: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.315660: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] .Ns2  6203.316097: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.316282: mmc_blk_rw_start: cmd=25,addr=0x013e6198,size=0x00000010
          <idle>-0     (-----) [000] ..s2  6203.316586: mmc_blk_rw_end: cmd=25,addr=0x013e6198,size=0x00000010
         mmcqd/1-1371  ( 1371) [000] ...1  6203.318973: mmc_blk_rw_start: cmd=25,addr=0x008e2968,size=0x00000018
          <idle>-0     (-----) [000] ..s2  6203.319464: mmc_blk_rw_end: cmd=25,addr=0x008e2968,size=0x00000018
         mmcqd/1-1371  ( 1371) [000] ...1  6203.321944: mmc_blk_rw_start: cmd=25,addr=0x008e2980,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.323494: mmc_blk_rw_end: cmd=25,addr=0x008e2980,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.324225: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] .Ns2  6203.324471: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.326820: mmc_blk_rw_start: cmd=25,addr=0x013e43a0,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.327234: mmc_blk_rw_end: cmd=25,addr=0x013e43a0,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.327295: mmc_blk_rw_start: cmd=25,addr=0x0135f270,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.327459: mmc_blk_rw_end: cmd=25,addr=0x0135f270,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.329439: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.329774: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.332453: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.332867: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.332936: mmc_blk_rw_start: cmd=25,addr=0x013e6198,size=0x00000010
          <idle>-0     (-----) [000] ..s2  6203.333216: mmc_blk_rw_end: cmd=25,addr=0x013e6198,size=0x00000010
         mmcqd/1-1371  ( 1371) [000] ...1  6203.335684: mmc_blk_rw_start: cmd=25,addr=0x008e2988,size=0x00000018
          <idle>-0     (-----) [000] ..s2  6203.336194: mmc_blk_rw_end: cmd=25,addr=0x008e2988,size=0x00000018
         mmcqd/1-1371  ( 1371) [000] ...1  6203.338615: mmc_blk_rw_start: cmd=25,addr=0x008e29a0,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.340145: mmc_blk_rw_end: cmd=25,addr=0x008e29a0,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.340878: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.341107: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.343144: mmc_blk_rw_start: cmd=25,addr=0x013e43a0,size=0x00000008
     logd.writer-1999  ( 1988) [000] ..s1  6203.343483: mmc_blk_rw_end: cmd=25,addr=0x013e43a0,size=0x00000008
         mmcqd/1-1371  ( 1371) [001] ...1  6203.343634: mmc_blk_rw_start: cmd=25,addr=0x0135f270,size=0x00000008
          <idle>-0     (-----) [000] .Ns2  6203.343809: mmc_blk_rw_end: cmd=25,addr=0x0135f270,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.345933: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.346321: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.349174: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.349514: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.349577: mmc_blk_rw_start: cmd=25,addr=0x013e6198,size=0x00000010
          <idle>-0     (-----) [000] ..s2  6203.349786: mmc_blk_rw_end: cmd=25,addr=0x013e6198,size=0x00000010
         mmcqd/1-1371  ( 1371) [000] ...1  6203.352161: mmc_blk_rw_start: cmd=25,addr=0x008e29a8,size=0x00000018
          <idle>-0     (-----) [000] ..s2  6203.352603: mmc_blk_rw_end: cmd=25,addr=0x008e29a8,size=0x00000018
         mmcqd/1-1371  ( 1371) [000] ...1  6203.354957: mmc_blk_rw_start: cmd=25,addr=0x008e29c0,size=0x00000008
          <idle>-0     (-----) [000] .Ns2  6203.356446: mmc_blk_rw_end: cmd=25,addr=0x008e29c0,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.357385: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.357614: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.359646: mmc_blk_rw_start: cmd=25,addr=0x013e43a0,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.360057: mmc_blk_rw_end: cmd=25,addr=0x013e43a0,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.360122: mmc_blk_rw_start: cmd=25,addr=0x0135f270,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.360346: mmc_blk_rw_end: cmd=25,addr=0x0135f270,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.362336: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.362743: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.365700: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.366105: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.366186: mmc_blk_rw_start: cmd=25,addr=0x013e6198,size=0x00000010
          <idle>-0     (-----) [000] ..s2  6203.366457: mmc_blk_rw_end: cmd=25,addr=0x013e6198,size=0x00000010
         mmcqd/1-1371  ( 1371) [001] ...1  6203.368826: mmc_blk_rw_start: cmd=25,addr=0x008e29c8,size=0x00000018
          <idle>-0     (-----) [000] ..s2  6203.369341: mmc_blk_rw_end: cmd=25,addr=0x008e29c8,size=0x00000018
         mmcqd/1-1371  ( 1371) [000] ...1  6203.371619: mmc_blk_rw_start: cmd=25,addr=0x008e29e0,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.373143: mmc_blk_rw_end: cmd=25,addr=0x008e29e0,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.373914: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.374141: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
