Block_Device File Inode Blocks
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_7260_family.tlv" 635 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_7160_RF_antenna_switch_command.tlv" 629 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libEGL.so" 1082 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_sim_detection_deactivate.tlv" 704 
/dev/block/mmcblk0p8 179:8 "/vendor/intel/validation/core/igt/tools/registers/valleyview" 763 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/clbltfng9.rtl" 931 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libsurfaceflinger.so" 883 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/XMM7260_CONF_1.xml" 344 
/dev/block/mmcblk0p8 179:8 "/vendor/bin/pytimechart-record" 106 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libpdfium.so" 857 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/firmware/gnss/CPCPU_SENS_5_GNSS_2.2_p.ptc" 282 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/libpvl_smile_detection.so" 1325 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libnl.so" 1151 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libtbb.so" 1058 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/00ov2680-a82i_2_coho.aiqb" 136 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_Smarti5G_band_config_update_NA_EU.tlv" 673 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/nb/libc.so" 907 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libmdmcli_mmgr.so" 1021 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/1024_7160_PF450CL_Audio_calib_param_part_2.tlv" 539 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libFFTEm.so" 786 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/libcontextarbitor.so" 1266 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/1024_7160_RF_band_settings.tlv" 542 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/00imx230.bxt_rvp.drvb" 496 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libpvl_skin_smoothing_jni.so" 1043 
